"title","author","date","response"
"124","[問片] 一部內容跟日本有關的西洋動作片","leaven"," 1/02",""
"125","Re: [有雷] 排球與我的荒島之戀——《浩劫重生》","Ciii"," 1/02","1"
"126","[好雷] 無人出席的告別式 - 栩栩如生的靜物畫","flowergone"," 1/02","4"
"127","[好雷]真愛繞圈圈：李大仁到程又青之間的距離 ","aiyung"," 1/02","7"
"128","[好雷] 大英雄天團有彩蛋 ","chipper2100"," 1/02","9"
"129","Fw: [閒聊] 偶動畫前置作品-精工小子","kikiqqp"," 1/02","7"
"130","[新聞] 【技術者們】李玹雨、林周煥顛覆形象！","kkaicd1"," 1/02",""
"131","[情報] 美國電影剪輯師(ACE)艾迪獎電影類入圍名單","bill93557063"," 1/02","1"
"132","[好雷] 到阜陽六百里","sodafish"," 1/02",""
"133","[ 負雷] 第七傳人極不推薦 無雷","pujuanswer"," 1/02","13"
"134","[問片] 悄悄告訴她..","ji394ji3"," 1/02","3"
"135","Fw: [新聞] 馬克華柏格希望將《海濱帝國》搬上大銀幕","sampsonlu919"," 1/02","3"
"136","[請益] 哪裡可以看到「刺激驚爆點」這部片?","bons2"," 1/02","14"
"137","[好雷] 哈比人3 ","erja"," 1/02","6"
"138","[問片] 一部超級英雄電影","smallfat0304"," 1/02","5"
"139","Re: [ 負雷] 第七傳人極不推薦 無雷","wugino"," 1/02","13"
"140","[片單] 北歐國家的好片","danlkaelb"," 1/02","24"
"141","[新聞]「冰雪奇緣」 STAR MOVIES明首播 1/3(六)","sony577"," 1/03","9"
"142","[請益] 頂尖對決的幾個部分...??","aff002377"," 1/03","3"
"143","[普雷]第七傳人-等級六的遊魂 ","joe2joyce"," 1/03",""
"144","Re: [請益] 頂尖對決的幾個部分...??","alista"," 1/03","1"
"145","[負雷] 第七個兒子","onetear"," 1/03",""
"146","Re: [請益] 頂尖對決的幾個部分...??","paul1231"," 1/03","1"
"147","[爆炸大濫雷] 曼哈頓戀習曲--losers的故事","RyanGasoline"," 1/03","X5"
"148","[情報] 2014 攝影機操作人員協會(SOC)獎 入圍名單","bill93557063"," 1/03","1"
"149","[普雷] 半吊子的【第七傳人】","killeryuan"," 1/03","1"
"150","[負雷]  第七傳人","sistar5566"," 1/03","19"
"151","[討論] 魔戒系列&哈比人系列","LeeMatt"," 1/03","49"
"152","[情報] 《蟻人》前導預告公開！但你看得見嗎？","qn123456"," 1/03","32"
"153","[好雷] 大眼睛 - 你有沒有勇氣面對自己","cewjlhwj"," 1/03","1"
"154","[分享] 2014 Favorite 10 Movies","moulinrouge"," 1/03","4"
"155","[片單] 求重感情片","Yueshei"," 1/03","45"
"156","[好雷] 《Journey To The West》西遊：降魔篇 ","chiachiako"," 1/03","6"
"157","Re: [片單] 爛到哭笑不得的爛片","jolin91577"," 1/03","6"
"158","[好雷]《大英雄天團》!可惡，有洋蔥~ ","f127892660"," 1/03","16"
"159","[請益]電影選角是如何挑選的??","huanglove"," 1/03","4"
"160","Re: [片單] 爛到哭笑不得的爛片","JUDO610"," 1/03","10"
"161","[  分享］短篇電影<一瞬之光> 大諺小晏募資","hsuoush"," 1/03","3"
"162","[請益] 大英雄天團裡的問題(雷)","pennychi"," 1/03","16"
"163","[問片] 一部跟寄生或感染有關的恐怖片","kazami1110"," 1/03",""
"164","[片單] 麻煩推薦片單還有詢問一部片名","iloveggyy"," 1/03","7"
"165","Re: [片單] 爛到哭笑不得的爛片","jejung"," 1/03","1"
"166","[新聞] 完全搞錯重點！「斷背山」原作者惱火","conpo"," 1/03","13"
"167","[好雷] 大英雄天團~無法不愛上杯麵~","tsukachan"," 1/03","23"
