"","title","boxoffice","ntitle0","ntitle1","ntitle2","popularity0","popularity1","popularity2","rating","weightedrating"
"34","小王子 ",2812,-0.0398296656562537,-0.491791794941394,-0.304566631239173,-0.393118407197425,-0.486664631261416,-0.369990846983371,0.761904761904762,0.607305936073059
"35","紅衣小女孩",2612,-0.0398296656562537,-0.37413825548173,0.220548250207677,0.440121695014508,-0.345227346638076,-0.253306969815811,0.577777777777778,0.230769230769231
"36","獵巫行動：大滅絕",2372,-0.78663589671101,-0.89181382910425,-0.584627901344159,-0.692230238760683,-0.858313666388704,-0.363127089502927,0.470588235294118,-0.491525423728814
"37","成人世界",2304,-0.78663589671101,-0.185892592346268,-0.374581948765419,-0.621013136007526,-0.536318146075993,-0.431764664307373,0.482142857142857,0.126923076923077
"38","朱比特崛起",2234,-0.78663589671101,-0.680037458076856,-0.479604925054789,-0.564039453805001,-0.733427553370222,-0.440344361157929,0.470588235294118,0.172972972972973
"39","刺客聶隱娘",2222,-0.537700486359424,-0.209423300238201,-0.0245053611341863,-0.592526294906263,-0.370806430027404,-0.277330120997368,0.693548387096774,0.150224215246637
"40","角頭",2217,-0.413232781183632,-0.303546131805932,-0.619635560107282,-0.699351949035998,-0.236892405224454,-0.448924058008485,0.4,-0.0220994475138122
"41","玩命快遞：肆意橫行",2214,-0.911103601886802,-0.821221705428452,-0.689650877633529,-0.71359536958663,-0.858313666388704,-0.464367512339486,0.285714285714286,0.285714285714286
"42","間諜橋 ",2183,-0.78663589671101,-0.280015423913999,-0.269558972476049,-0.677986818210051,-0.44453437626723,-0.29448951469848,0.945945945945946,0.89041095890411
"43","仙履奇緣",2126,-0.662168191535217,-0.821221705428452,-0.759666195159775,-0.628134846282842,-0.680764734627489,-0.508981935962376,0.590909090909091,0.506976744186047
"44","天菜大廚",2119,-0.164297370832046,-0.962405952780048,-0.689650877633529,-0.635256556558157,-0.82972527907122,-0.495254421001487,0.714285714285714,-0.19672131147541
"45","翻轉幸福",2077,0.084638039519539,-1.10359020013164,-0.584627901344159,-0.514187481877791,-0.93204161262853,-0.445492179268263,0.416666666666667,0.51063829787234
"46","馬達加斯加爆走企鵝 ",2073,-0.537700486359424,-1.22124373959131,-0.724658536396652,-0.578282874355632,-0.954611392089701,-0.481526906040598,0.666666666666667,0.542857142857143
"47","白鯨傳奇：怒海之心",1954,-0.662168191535217,-0.750629581752654,-0.584627901344159,-0.66374339765942,-0.856809014424626,-0.457503754859041,0.857142857142857,0.431578947368421
"48","魔法黑森林",1943,-0.662168191535217,-0.515322502833327,-0.514612583817912,-0.628134846282842,-0.646157739453693,-0.431764664307373,0.40625,0.091324200913242
"49","尖叫旅社2   ",1926,-0.911103601886802,-1.15065161591551,-0.584627901344159,-0.71359536958663,-0.910976485131437,-0.467799391079708,0.833333333333333,0.804878048780488
"50","一夜狂奔",1891,-0.662168191535217,-0.962405952780048,-0.654643218870405,-0.71359536958663,-0.786090372112956,-0.450639997378596,0.818181818181818,0.825
